"Incident Number","Incident Types","Reported Date","Nearest Populated Centre","Province","Company","Status","Latitude","Longitude","Approximate Volume Released (m3)","Substance","Release Type","Significant","Year","Occurrence Date and Time","Discovered Date and Time","Detailed what happened","What happened category","Detailed why it happened","Why it happened category","Duration of interruption of pipeline operations","Pipeline or Facility Type","Activity being performed at time of incident","How the incident was discovered","Closed Date","Pipeline or facility equipment involved","Rupture","Incident type","Released substance type","Released volume (m3)","Pipe body release","Residual effects on the environment","Source of Explosion","Source of Fire","Activity at time of fatality","Number of fatalities","Type of Injury","Number of individuals injured","Workdays lost","Work restricted by injury","Conditions that resulted in the operation beyond  limits","Conditions that resulted in adverse effects on the environment","Number of people evacuated","Regulation","Pipeline Name","Pipeline outside diameter (NPS)","Pipeline length (km)","Substance carried","Facility Name","Facility Type","Facility latitude","Facility longitude","Country","Affects Company Property","Off Company Property","Affects Pipeline right-of-way","Affects off Pipeline right-of-way","Land Use","Population Density","Kilometre post","Emergency Level","Investigation Type","Was NEB Staff Deployed","Related NEB event number","Equipment or component involved","Design standard","Nominal pipe size","Material","Material grade","Schedule","Design wall thickness (mm)","Custom design wall thickness (mm)","Actual wall thickness (mm)","Licensed maximum operating pressure (kPa)","Restricted operating pressure (kPa)","Actual operating pressure at time of failure (kPa)","Designed depth of cover (m)","Actual depth of cover (m)","Year of manufacture","Year of installation","Year when put into service","Most recent cathodic protection reading at incident site (mV vs. Cu/CuSO4)","Weld type ","Seam type","Seam joining method","Seam clock position","Coating location","Coating type","Coating condition","Application method","Year when the coating was applied","Insulation installed","Repair type","Repair date","Equipment or component has never been inspected","Most recent inspection date for the failed equipment or component","Type of most recent inspection","Most recent inspection part of the routine inspection program","No maintenance done on this equipment or component","Date of the most recent maintenance work for the failed equipment or component","Most recent maintenance Type","Most recent maintenance work part of the routine maintenance program"
"INC2011-116","Fire","08/04/2011","Herbert","Saskatchewan","TransCanada Keystone Pipeline GP Ltd.","Closed","50.53923000","-107.30765000","Not Applicable","Not Applicable","Not Applicable","No","2011","2011/08/04 11:00:00 AM Mountain","2011/08/04 11:00:00 AM Mountain","Substandard Acts, Failure to identify hazard or risk;Substandard Acts, Failure to check or monitor;Substandard Conditions, Inadequate guards or barriers;Substandard Conditions, Inadequate ventilation;Substandard Conditions, Inadequate instructions or procedures","External Interference, Incorrect Operation","Personal factors, Lack of knowledge, Inadequate initial training;Personal factors, Lack of skill, Inadequate initial instruction;Job or system factors, Inadequate leadership and/or supervision, Inadequate work planning or programming;Job or system factors, Inadequate leadership and/or supervision, Inadequate instructions, orientation and/or training","Human Factors, Inadequate Supervision","","","Construction","Employee / Contractor (Onsite)","2016/08/26","No","No","Fire","","","","No","","Welding or Cutting","","","","","","","","","0","OPR","TCP Keystone - Herbert Pump Station #13","","","","","","","","Canada","Yes","No","No","No","Unknown Land Use (Historical Data Migration)","Unknown Population Density (Historical Data Migration)","","Level I","Standard Review - 168 days","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No","","","No","","","No","No","","","No"
"INC2011-119","Fire","08/06/2011","Consort","Alberta","TransCanada Keystone Pipeline GP Ltd.","Closed","51.92351000","-110.63297000","Not Applicable","Not Applicable","Not Applicable","No","2011","2011/08/04 01:00:00 PM Mountain","2011/08/04 12:00:00 PM Mountain","Substandard Conditions, Inadequate guards or barriers","External Interference","Job or system factors, Inadequate work standards, Inadequate maintenance of standards, Monitoring use of procedures or practices or rules","Standards and Procedures","","","Construction","Employee / Contractor (Onsite)","2017/01/23","No","No","Fire","","","","No","","Welding or Cutting","","","","","","","","","0","OPR","","","","","","","","","Canada","Yes","No","No","No","Unknown Land Use (Historical Data Migration)","Unknown Population Density (Historical Data Migration)","","Level I","Standard Review - 168 days","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No","","","No","","","No","No","","","No"
"INC2011-120","Fire","08/06/2011","Oyen","Alberta","TransCanada Keystone Pipeline GP Ltd.","Closed","51.42256000","-110.54117000","Not Applicable","Not Applicable","Not Applicable","No","2011","2011/08/05 11:45:00 AM Mountain","2011/08/05 11:45:00 AM Mountain","Substandard Conditions, Inadequate guards or barriers","External Interference","Job or system factors, Inadequate work standards, Inadequate maintenance of standards, Monitoring use of procedures or practices or rules","Standards and Procedures","","","Construction","Employee / Contractor (Onsite)","2017/01/23","No","No","Fire","","","","No","","Welding or Cutting","","","","","","","","","0","OPR","","","","","","","","","Canada","Yes","No","No","No","Unknown Land Use (Historical Data Migration)","Unknown Population Density (Historical Data Migration)","","Level I","Standard Review - 168 days","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No","","","No","","","No","No","","","No"
"INC2011-125","Fire","08/09/2011","Rapid City","Manitoba","TransCanada Keystone Pipeline GP Ltd.","Closed","50.07490000","-100.00047000","Not Applicable","Not Applicable","Not Applicable","No","2011","2011/08/09 11:00:00 AM Mountain","2011/08/09 11:00:00 AM Mountain","Damage or deterioration mechanism, Other Causes, Control System Malfunction;Substandard Conditions, Fire and explosion hazards","Equipment Failure, External Interference","Job or system factors, Excessive wear and tear, Improper loading or rate of use;Job or system factors, Inadequate maintenance, Inadequate reparative, Part substitution","Maintenance","","","Operation","Employee / Contractor (Onsite)","2014/03/31","Yes","No","Fire","","","","No","","Housekeeping","","","","","","","","","0","OPR","TCP Keystone - Rapid City Pump Station 23","","","","","","","","Canada","Yes","No","No","No","Unknown Land Use (Historical Data Migration)","Unknown Population Density (Historical Data Migration)","","Level I","Standard Review - 168 days","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No","","","No","","","No","No","","","No"
"INC2011-127","Release of Substance","08/16/2011","Meanook","Alberta","NOVA Gas Transmission Ltd.","Closed","54.46884000","-113.21624000","Not Provided","Natural Gas - Sweet","Gas","No","2011","2011/08/15 12:00:00 AM Mountain","2011/08/15 09:37:00 AM Mountain","Damage or deterioration mechanism, Construction, Defective Other Joint","Defect and Deterioration","Job or system factors, Inadequate maintenance, Inadequate preventive, Assessment of needs","Maintenance","","","Operation","3rd Party / Other Company","2012/03/15","Yes","No","Release of Substance","Natural Gas - Sweet","0.0000","No","No","","","","","","","","","","","0","OPR","","","","","","","","","Canada","Yes","No","No","No","Unknown Land Use (Historical Data Migration)","Unknown Population Density (Historical Data Migration)","","Level I","Standard Review - 168 days","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No","","","No","","","No","No","","","No"
"INC2011-129","Operation Beyond Design Limits","08/17/2011","Toronto","Ontario","Trans-Northern Pipelines Inc.","Closed","43.76842600","-79.48533600","Not Applicable","Not Applicable","Not Applicable","No","2011","2011/08/16 12:00:00 AM Mountain","2011/08/16 12:00:00 PM Eastern","Substandard Conditions, Defective tools, equipment or materials","External Interference","Job or system factors, Inadequate tools and equipment, Inadequate adjustment or repair or maintenance","Tools and Equipment","","","Operation","Employee / Contractor (Onsite)","2012/05/16","Yes","No","Operation Beyond Design Limits","","","","No","","","","","","","","","Over Pressure","","0","OPR","Mainline","273.10000000","635.01881647","Refined Products-Aviation","","","","","Canada","Yes","No","No","No","Unknown Land Use (Historical Data Migration)","Unknown Population Density (Historical Data Migration)","","Level I","Standard Review - 168 days","No","INC2015-002, INC2016-008","","","","","","","","","","","","","","","","","","","","","","","","","","","","No","","","No","","","No","No","","","No"
"INC2011-131","Fire","08/21/2011","White City","Saskatchewan","TransCanada PipeLines Limited","Closed","50.39317000","-104.40937000","Not Applicable","Not Applicable","Not Applicable","No","2011","2011/08/21 04:35:00 AM Mountain","2011/08/21 04:35:00 AM Mountain","Damage or deterioration mechanism, Electrical Power System Failure, Arc Flash;Damage or deterioration mechanism, Electrical Power System Failure, Electrical Fault","Equipment Failure","Job or system factors, Inadequate engineering, Inadequate assessment of operational readiness;Job or system factors, Inadequate maintenance, Inadequate preventive, Assessment of needs","Engineering and Planning, Maintenance","","","Maintenance","Employee / Contractor (Onsite)","2017/01/23","No","No","Fire","","","","No","","Equipment & Electrical","","","","","","","","","0","OPR","TCPL - Station 17 (Regina Compressor Station)","","","","","","","","Canada","Yes","No","No","No","Unknown Land Use (Historical Data Migration)","Unknown Population Density (Historical Data Migration)","","Level I","Standard Review - 168 days","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No","","","No","","","No","No","","","No"
"INC2011-132","Fire","08/22/2011","Grande Prairie","Alberta","NOVA Gas Transmission Ltd.","Closed","55.12635000","-117.83833000","Not Applicable","Not Applicable","Not Applicable","No","2011","2011/08/22 09:00:00 AM Mountain","2011/08/22 09:00:00 AM Mountain","Damage or deterioration mechanism, Other Causes, Improper Operation;Substandard Acts, Failure to check or monitor;Substandard Conditions, Fire and explosion hazards","External Interference, Incorrect Operation","Job or system factors, Inadequate maintenance, Inadequate preventive, Cleaning or resurfacing","Maintenance","","","Operation","Employee / Contractor (Onsite)","2017/01/23","Yes","No","Fire","","","","No","","Equipment & Electrical","","","","","","","","","0","OPR","NGTL - Clarkson Valley Compressor Station","","","","","","","","Canada","Yes","No","No","No","Unknown Land Use (Historical Data Migration)","Unknown Population Density (Historical Data Migration)","Legal Subdivision 14-6-71-25 W5","Level I","Standard Review - 168 days","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No","","","No","","","No","No","","","No"
"INC2011-133","Fire","08/23/2011","Manning","Alberta","NOVA Gas Transmission Ltd.","Closed","57.19241000","-118.19542000","Not Applicable","Not Applicable","Not Applicable","No","2011","2011/08/22 11:55:00 PM Mountain","2011/08/22 11:55:00 PM Mountain","Substandard Acts, Improper placement;Damage or deterioration mechanism, Electrical Power System Failure, Arc Flash;Damage or deterioration mechanism, Electrical Power System Failure, Electrical Fault","Equipment Failure, Incorrect Operation","Job or system factors, Inadequate engineering, Inadequate assessment of loss exposures;Job or system factors, Inadequate engineering, Inadequate monitoring of construction","Engineering and Planning","","","Operation","Employee / Contractor (Onsite)","2017/01/23","Yes","No","Fire","","","","No","","Equipment & Electrical","","","","","","","","","0","OPR","","","","","","","","","Canada","Yes","No","No","No","Unknown Land Use (Historical Data Migration)","Unknown Population Density (Historical Data Migration)","","Level I","Standard Review - 168 days","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No","","","No","","","No","No","","","No"
"INC2011-134","Fire","08/29/2011","White City","Saskatchewan","Enbridge Pipelines Inc.","Closed","50.44344000","-104.35691000","Not Applicable","Not Applicable","Not Applicable","No","2011","2011/08/25 01:45:00 PM Mountain","2011/08/25 01:45:00 PM Mountain","Substandard Conditions, Defective tools, equipment or materials","External Interference","Job or system factors, Inadequate engineering, Inadequate assessment of operational readiness","Engineering and Planning","","","Construction","Employee / Contractor (Onsite)","2012/04/18","Yes","No","Fire","","","","No","","Equipment & Electrical","","","","","","","","","0","OPR","","","","","","","","","Canada","No","Yes","No","Yes","Unknown Land Use (Historical Data Migration)","Unknown Population Density (Historical Data Migration)","","Level I","Standard Review - 168 days","No","","Vehicle / mobile equipment","","","","","","","","","","","","","","","","","","","","","","","","","","","No","","","No","","","No","No","","","No"
"INC2011-135","Release of Substance","08/31/2011","Grande Prairie","Alberta","NOVA Gas Transmission Ltd.","Closed","54.83012000","-118.64715000","Not Provided","Natural Gas - Sweet","Gas","No","2011","","2011/08/31 07:25:00 AM Mountain","Damage or deterioration mechanism, Material Loss, External Material Loss","Corrosion and Cracking","Job or system factors, Inadequate engineering, Inadequate standards, specifications and/or design criteria","Engineering and Planning","","","Operation","Employee / Contractor (Onsite)","2013/01/02","Yes","No","Release of Substance","Natural Gas - Sweet","0.0000","No","No","","","","","","","","","","","0","OPR","","","","","","","","","Canada","No","No","Yes","Yes","Unknown Land Use (Historical Data Migration)","Unknown Population Density (Historical Data Migration)","","Level I","Standard Review - 168 days","No","","Pipeline, Pipe, Body","","NPS 18","Carbon Steel","414 - X60","","5.6 mm = 0.219 in","","","724.8000","","","","","1970","","","","","Spiral","Double Submerged Arc Welding","6 o'clock","External","Polyethylene Tape Wrap","","","","No","Replacement","2011-09-25","No","","","No","No","2011-09-25","Replacement","No"
"INC2011-136","Serious Injury (CER or TSB)","09/01/2011","Huntsville","Ontario","TransCanada PipeLines Limited","Closed","45.51138000","-79.31036000","Not Applicable","Not Applicable","Not Applicable","Yes","2011","2011/08/24 04:00:00 PM Eastern","2011/08/24 04:00:00 PM Eastern","Substandard Acts, Using defective equipment;Substandard Acts, Using equipment improperly;Substandard Acts, Failure to identify hazard or risk;Substandard Acts, Failure to check or monitor","Incorrect Operation","Job or system factors, Inadequate leadership and/or supervision, Inadequate identification and evaluation of loss exposures;Job or system factors, Inadequate tools and equipment, Inadequate adjustment or repair or maintenance;Job or system factors, Inadequate maintenance, Inadequate reparative, Examination of units","Inadequate Supervision, Maintenance, Tools and Equipment","","","Construction","Employee / Contractor (Onsite)","2012/04/19","No","No","Serious Injury (CER or TSB)","","","","No","","","","","Fracture","1","","No","","","0","OPR","LINE 100-1","508.00000000, 762.00000000, 863.60000000","2595.72453402","Natural Gas","","","","","Canada","No","No","Yes","Yes","Unknown Land Use (Historical Data Migration)","Unknown Population Density (Historical Data Migration)","Mainline Valve + Offset (km) 18 km","Level I","Standard Review - 168 days","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No","","","No","","","No","No","","","No"
"INC2011-138","Release of Substance","09/02/2011","Wabasca","Alberta","NOVA Gas Transmission Ltd.","Closed","55.84448000","-113.89141000","Not Provided","Natural Gas - Sweet","Gas","No","2011","","2011/09/01 01:45:00 PM Mountain","Damage or deterioration mechanism, Other Causes, Control System Malfunction","Equipment Failure","Job or system factors, Inadequate maintenance, Inadequate preventive, Assessment of needs","Maintenance","","","Operation","3rd Party / Other Company","2014/03/20","Yes","No","Release of Substance","Natural Gas - Sweet","0.0000","No","No","","","","","","","","","","","0","OPR","NGTL - Weaver Lake South Meter Station","","","","","","","","Canada","Yes","No","No","No","Unknown Land Use (Historical Data Migration)","Unknown Population Density (Historical Data Migration)","","Level I","Standard Review - 168 days","No","","Station/Facility, Metering, Delivering, Valve","","","","","","","","","","","","","","","","","","","","","","","","","","","No","","","No","","","No","No","","","No"
"INC2011-141","Release of Substance","09/08/2011","Musquash","New Brunswick","Maritimes & Northeast Pipeline Management Ltd.","Closed","45.19534700","-66.40199300","Not Provided","Natural Gas - Sweet","Gas","No","2011","2011/09/08 12:00:00 AM Mountain","2011/09/08 01:00:00 PM Eastern","Damage or deterioration mechanism, Material or Manufacturing, Defective Pipe or Component Body","Defect and Deterioration","Job or system factors, Inadequate engineering, Inadequate monitoring of construction;Job or system factors, Excessive wear and tear, Improper extension of service life","Engineering and Planning, Maintenance","","","Operation","Employee / Contractor (Onsite)","2014/03/12","Yes","No","Release of Substance","Natural Gas - Sweet","0.0000","No","No","","","","","","","","","","","0","OPR","","","","","","","","","Canada","No","No","Yes","No","Unknown Land Use (Historical Data Migration)","Unknown Population Density (Historical Data Migration)","","Level I","Standard Review - 168 days","No","","Pipeline, Fitting, Other (please explain)","","","","","","","","","","","","","","","","","","","","","","","","","","","No","","","No","","","No","No","","","No"
"INC2011-142","Release of Substance","09/09/2011","Albrights Corner","New Brunswick","Maritimes & Northeast Pipeline Management Ltd.","Closed","46.02269500","-66.18981700","Not Provided","Natural Gas - Sweet","Gas","No","2011","","2011/09/09 03:30:00 PM Atlantic","Damage or deterioration mechanism, Material or Manufacturing, Defective Pipe or Component Body","Defect and Deterioration","Job or system factors, Inadequate maintenance, Inadequate preventive, Assessment of needs","Maintenance","","","Operation","Employee / Contractor (Onsite)","2014/03/20","Yes","No","Release of Substance","Natural Gas - Sweet","0.0000","No","No","","","","","","","","","","","0","OPR","MNE - MLV 420","","","","","","","","Canada","No","No","Yes","No","Unknown Land Use (Historical Data Migration)","Unknown Population Density (Historical Data Migration)","Mainline Valve + Offset (km)","Level I","Standard Review - 168 days","No","","Pipeline, Fitting, Other (please explain)","","","","","","","","","","","","","","","","","","","","","","","","","","","No","","","No","","","No","No","","","No"
"INC2011-143","Release of Substance","09/09/2011","Noonan","New Brunswick","Maritimes & Northeast Pipeline Management Ltd.","Closed","45.96371300","-66.52814000","Not Provided","Natural Gas - Sweet","Gas","No","2011","","2011/09/09 03:30:00 PM Atlantic","Damage or deterioration mechanism, Material or Manufacturing, Defective Pipe or Component Body","Defect and Deterioration","Job or system factors, Inadequate maintenance, Inadequate preventive, Assessment of needs","Maintenance","","","Operation","Employee / Contractor (Onsite)","2014/03/21","Yes","No","Release of Substance","Natural Gas - Sweet","0.0000","No","No","","","","","","","","","","","0","OPR","MNE - MLV 446","","","","","","","","Canada","No","No","Yes","No","Unknown Land Use (Historical Data Migration)","Unknown Population Density (Historical Data Migration)","Mainline Valve + Offset (km)","Level I","Standard Review - 168 days","No","","Pipeline, Fitting, Other (please explain)","","","","","","","","","","","","","","","","","","","","","","","","","","","No","","","No","","","No","No","","","No"
"INC2011-146","Fire","09/10/2011","Grande Prairie","Alberta","NOVA Gas Transmission Ltd.","Closed","55.50563000","-119.56184000","Not Applicable","Not Applicable","Not Applicable","No","2011","2011/09/10 09:00:00 AM Mountain","2011/09/10 09:00:00 AM Mountain","Substandard Acts, Using equipment improperly","Incorrect Operation","Personal factors, Lack of knowledge, Lack of situational awareness","Human Factors","","","Construction","Employee / Contractor (Onsite)","2014/03/31","No","No","Fire","","","","No","","Welding or Cutting","","","","","","","","","0","OPR","","","","","","","","","Canada","Yes","No","No","No","Unknown Land Use (Historical Data Migration)","10 or fewer dwelling units","","Level I","Standard Review - 168 days","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No","","","No","","","No","No","","","No"
"INC2011-152","Release of Substance","09/20/2011","Grenfell","Saskatchewan","TransCanada PipeLines Limited","Closed","50.28587000","-102.95155000","Not Provided","Natural Gas - Sweet","Gas","No","2011","2011/09/20 09:00:00 AM Mountain","2011/09/20 09:00:00 AM Mountain","Damage or deterioration mechanism, Construction, Defective Pipe or Component Body","Defect and Deterioration","Job or system factors, Inadequate maintenance, Inadequate preventive, Assessment of needs","Maintenance","","","Operation","Employee / Contractor (Onsite)","2014/03/20","Yes","No","Release of Substance","Natural Gas - Sweet","0.0000","No","No","","","","","","","","","","","0","OPR","TCPL - Station 21 (Grenfell Compressor Station)","","","","","","","","Canada","Yes","No","No","No","Unknown Land Use (Historical Data Migration)","10 or fewer dwelling units","Mainline Valve + Offset (km)","Level I","Standard Review - 168 days","No","","Station/Facility, Compression, Valve","","","","","","","","","","","","","","","","","","","","","","","","","","","No","","","No","","","No","No","","","No"
"INC2011-153","Release of Substance","09/26/2011","Saint George","New Brunswick","Maritimes & Northeast Pipeline Management Ltd.","Closed","45.12900900","-66.83136000","Not Provided","Natural Gas - Sweet","Gas","No","2011","2011/09/26 12:00:00 PM Atlantic","2011/09/26 12:00:00 PM Atlantic","Damage or deterioration mechanism, Equipment, Valve Seals or Packing","Equipment Failure","Job or system factors, Inadequate maintenance, Inadequate preventive, Assessment of needs","Maintenance","","","Operation","Employee / Contractor (Onsite)","2014/03/17","Yes","No","Release of Substance","Natural Gas - Sweet","0.0000","No","No","","","","","","","","","","","0","OPR","","","","","","","","","Canada","Yes","No","No","No","Unknown Land Use (Historical Data Migration)","Unknown Population Density (Historical Data Migration)","","Level I","Standard Review - 168 days","No","","Station/Facility, Metering, Delivering, Valve","","","","","","","","","","","","","","","","","","","","","","","","","","","No","","","No","","","No","No","","","No"
"INC2011-154","Release of Substance","09/28/2011","Grande Prairie","Alberta","NOVA Gas Transmission Ltd.","Closed","54.83025000","-118.64722000","Not Provided","Natural Gas - Sweet","Gas","No","2011","2011/09/27 11:25:00 AM Mountain","2011/09/27 11:25:00 AM Mountain","Damage or deterioration mechanism, Construction, Defective Pipe or Component Body","Defect and Deterioration","Job or system factors, Excessive wear and tear, Improper loading or rate of use","Maintenance","","","Operation","Employee / Contractor (Onsite)","2014/03/20","Yes","No","Release of Substance","Natural Gas - Sweet","0.0000","No","No","","","","","","","","","","","0","OPR","","","","","","","","","Canada","Yes","No","No","No","Unknown Land Use (Historical Data Migration)","Unknown Population Density (Historical Data Migration)","Legal Subdivision 10-26-067-5W6","Level I","Standard Review - 168 days","No","","Station/Facility, Compression, Fitting","","","","","","","","","","","","","","","","","","","","","","","","","","","No","","","No","","","No","No","","","No"
"INC2011-155","Release of Substance","10/01/2011","Maple","Ontario","TransCanada PipeLines Limited","Closed","43.87391000","-79.58006000","Not Provided","Natural Gas - Sweet","Gas","No","2011","2011/10/01 06:40:00 AM Mountain","2011/10/01 06:40:00 AM Mountain","Substandard Acts, Failure to follow procedure or policy or practice","Incorrect Operation","Personal factors, Lack of knowledge, Lack of experience","Human Factors","","","Operation","Employee / Contractor (Onsite)","2014/03/20","Yes","No","Release of Substance","Natural Gas - Sweet","0.0000","No","No","","","","","","","","","","","0","OPR","","","","","","","","","Canada","No","No","Yes","No","Unknown Land Use (Historical Data Migration)","Unknown Population Density (Historical Data Migration)","","Level I","Standard Review - 168 days","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No","","","No","","","No","No","","","No"
"INC2011-157","Fatality","10/12/2011","Sarnia","Ontario","Niagara Gas Transmission Limited","Closed","42.97508000","-82.40654000","Not Applicable","Not Applicable","Not Applicable","Yes","2011","2011/10/11 02:00:00 PM Eastern","2011/10/11 12:00:00 AM Mountain","Substandard Acts, Failure to identify hazard or risk;Substandard Conditions, Inadequate or improper protective equipment;Substandard Conditions, Inadequate instructions or procedures","External Interference, Incorrect Operation","Personal factors, Lack of knowledge, Lack of situational awareness;Job or system factors, Inadequate tools and equipment, Inadequate assessment of needs and risks;Job or system factors, Inadequate tools and equipment, Inadequate standards or specifications;Job or system factors, Inadequate work standards, Inadequate development of standards, Inventory and evaluation of exposures and needs","Human Factors, Standards and Procedures, Tools and Equipment","","","Maintenance","Employee / Contractor (Onsite)","2017/01/23","No","No","Fatality","","","","No","","","Operation of Equipment","1","","","","","","","0","OPR","","","","","","","","","Canada","No","No","Yes","No","Unknown Land Use (Historical Data Migration)","Unknown Population Density (Historical Data Migration)","","Level I","Standard Review - 168 days","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No","","","No","","","No","No","","","No"
"INC2011-158","Release of Substance","10/13/2011","Tulita","Northwest Territories","Enbridge Pipelines (NW) Inc.","Closed","64.65833000","-124.83612000","0.0005","Propane","Gas","No","2011","2011/10/12 12:30:00 PM Mountain","2011/10/12 12:00:00 AM Mountain","Damage or deterioration mechanism, Equipment","Equipment Failure","Job or system factors, Inadequate maintenance, Inadequate preventive, Assessment of needs","Maintenance","","","Operation","Employee / Contractor (Onsite)","2012/05/15","No","No","Release of Substance","Propane","0.0005","No","No","","","","","","","","","","","0","OPR","","","","","","","","","Canada","Yes","No","No","No","Unknown Land Use (Historical Data Migration)","Unknown Population Density (Historical Data Migration)","Kilometer Post 123","Level I","Standard Review - 168 days","No","","Pipeline, Fitting, Other (please explain)","","","","","","","","","","","","","","","","","","","","","","","","","","","No","","","No","","","No","No","","","No"
"INC2011-160","Operation Beyond Design Limits","10/14/2011","Windsor","Ontario","Ethane Shippers Joint Venture","Closed","42.28050900","-83.07765800","Not Applicable","Not Applicable","Not Applicable","No","2011","","2011/10/02 09:40:00 PM Eastern","Damage or deterioration mechanism, Geotechnical Failure, Construction or Undermining","External Interference","Personal factors, Lack of knowledge, Lack of experience;Job or system factors, Inadequate tools and equipment, Inadequate standards or specifications;Job or system factors, Inadequate maintenance, Inadequate preventive, Assessment of needs;Job or system factors, Inadequate work standards, Inadequate maintenance of standards, Monitoring use of procedures or practices or rules","Human Factors, Maintenance, Standards and Procedures, Tools and Equipment","","","Operation","Employee / Contractor (Onsite)","2013/01/09","Yes","No","Operation Beyond Design Limits","","","","No","","","","","","","","","Over Pressure","","0","OPR","BP Windsor Storage Terminal","","","","","","","","Canada","Yes","No","No","No","Unknown Land Use (Historical Data Migration)","Unknown Population Density (Historical Data Migration)","","Level I","Standard Review - 168 days","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No","","","No","","","No","No","","","No"
"INC2011-162","Release of Substance","10/19/2011","Wrigley","Northwest Territories","Enbridge Pipelines (NW) Inc.","Closed","63.87793000","-123.98697000","Not Provided","Mixed HVP Hydrocarbons","Gas","No","2011","2011/10/19 02:09:00 PM Mountain","2011/10/19 02:09:00 PM Mountain","Damage or deterioration mechanism, Equipment, Valve Seals or Packing","Equipment Failure","Job or system factors, Inadequate work standards, Inadequate maintenance of standards, Monitoring use of procedures or practices or rules","Standards and Procedures","","","Operation","Employee / Contractor (Onsite)","2012/03/06","No","No","Release of Substance","Mixed HVP Hydrocarbons","0.0000","No","No","","","","","","","","","","","0","OPR","","","","","","","","","Canada","Yes","No","No","No","Unknown Land Use (Historical Data Migration)","Unknown Population Density (Historical Data Migration)","Kilometer Post 228","Level I","Standard Review - 168 days","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No","","","No","","","No","No","","","No"
"INC2011-163","Release of Substance","10/19/2011","Wrigley","Northwest Territories","Enbridge Pipelines (NW) Inc.","Closed","63.26117700","-123.40261600","0.0010","Propane","Gas","No","2011","2011/10/19 04:15:00 PM Mountain","2011/10/19 04:51:00 PM Mountain","Damage or deterioration mechanism, Equipment, Valve Seals or Packing","Equipment Failure","Job or system factors, Excessive wear and tear, Inadequate maintenance","Maintenance","","","Maintenance","Employee / Contractor (Onsite)","2012/03/06","Yes","No","Release of Substance","Propane","0.0010","No","No","","","","","","","","","","","0","OPR","","","","","","","","","Canada","Yes","No","No","No","Unknown Land Use (Historical Data Migration)","Unknown Population Density (Historical Data Migration)","Kilometer Post 305","Level I","Standard Review - 168 days","No","","Pipeline, Valve, Pressure relief, Other (please explain)","","","","","","","","","","","","","","","","","","","","","","","","","","","No","","","No","","","No","No","","","No"
"INC2011-165","Fire","10/24/2011","Regina","Saskatchewan","Enbridge Pipelines Inc.","Closed","50.25906000","-103.70813000","Not Applicable","Not Applicable","Not Applicable","No","2011","2011/10/24 07:10:00 PM Mountain","2011/10/24 07:10:00 PM Mountain","Substandard Conditions, Fire and explosion hazards","External Interference","Job or system factors, Inadequate work standards, Inadequate maintenance of standards, Monitoring use of procedures or practices or rules","Standards and Procedures","","","Maintenance","Employee / Contractor (Onsite)","2014/03/31","No","No","Fire","","","","No","","Welding or Cutting","","","","","","","","","0","OPR","Line 1","508.00000000, 864.00000000","1255.99912071","Crude Oil","","","","","Canada","No","No","Yes","No","Unknown Land Use (Historical Data Migration)","Unknown Population Density (Historical Data Migration)","","Level I","Standard Review - 168 days","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No","","","No","","","No","No","","","No"
"INC2011-166","Release of Substance","10/26/2011","Rosemary","Alberta","NOVA Gas Transmission Ltd.","Closed","50.90519000","-112.10804000","Not Provided","Natural Gas - Sweet","Gas","No","2011","","2011/10/25 08:00:00 AM Mountain","Damage or deterioration mechanism, Other Causes, Control System Malfunction","Equipment Failure","Job or system factors, Inadequate maintenance, Inadequate preventive, Assessment of needs","Maintenance","","","Operation","Employee / Contractor (Onsite)","2011/12/29","Yes","No","Release of Substance","Natural Gas - Sweet","0.0000","No","No","","","","","","","","","","","0","OPR","NGTL - Gem South Meter Station","","","","","","","","Canada","Yes","No","No","No","Unknown Land Use (Historical Data Migration)","Unknown Population Density (Historical Data Migration)","","Level I","Standard Review - 168 days","No","","Station/Facility, Metering, Delivering, Auxiliary device(s) (please explain)","","","","","","","","","","","","","","","","","","","","","","","","","","","No","","","No","","","No","No","","","No"
